7001,0,,It's like watching a slow motion car crash,
7002,1,,"New post: ""Bootle car crash: Skye Olivia Mitchell's family pays tribute""",
7003,1,,New video footage shows Venus Williams had green light in fatal car crash,
7004,1,,No Sympathy+fully support Teenage boy in critical condition after crash between police&amp,
7005,0,,No i dont need PPI protection and NO I didnt have a car crash recently,
7006,1,,No one hurt after crash leaves car teetering on a New Jersey highway overpass,
7007,1,,North Haven man seriously injured in car-moped crash in New Haven,
7008,1,,"Not only did I crash my new car yesterday, I just shattered my fucking phone screen I'm so pissed what is happening to me",
7009,0,,Now we all know chuckies mom died in a car crash. But what if chuckie was in that car crash also?,
7010,1,,OB Ike at St Charles (on the left) all lanes blocked with 4 car crash. Traffic solid starting at Harlem.,
7011,0,,OR DO YOU FUCKING CRASH THE CAR,
7012,1,,"ORANGE, CA - One Killed in Two-Car Crash on Highway 22 near Highway 55 Interchange ",
7013,1,,"OVERNIGHT: Crash in Manor injures six, in a head-on accident",
7014,0,,"Odds of being killed in a car crash - 1 in 5,000.",
7015,0,,Oh dear. Anyone got a copy of that car crash riddle?,
7016,0,,Ohio State fan in coma asked if he likes Michigan responds 'No': Car crash,
7017,1,,"Old 21 near Enchanted Forest, report of a crash, one vehicle may be trying to leave the scene. Highway Patrol repor",
7018,0,,Omg ... Truck Tire  #truck #crash #car #tire,
7019,0,,Omg this car crash ,
7020,0,,On G I hate driving with my mama she be making me almost crash with her overdramaticness,
7021,1,,On the scene of a fatal car crash involving a dump truck in Mendon on Boughton Hill Rd. Road closed between Rt 64,
7022,0,,Oncoming Bitcoin fork car crash: everyone's looking at the wall approaching at 60mph and go (by dgerard) [external],
7023,1,,One Truck VS Two Trains Going Opposite Directions #trucks #trains #crash,
7024,1,,One dead and eight injured in four-car crash on Grand Central Parkway,
7025,1,,One hospitalised following horror motorcycle and car crash,
7026,0,,One of my biggest fears is dying in a car crash and having my music keep playing,
7027,1,,One person left in a serious condition after West Auckland car crash,
7028,1,,One person transported to hospital following single-car crash in Hudson #NewHampshire,
7029,1,,One woman injured in car crash near Malmesbury,
7030,0,,PFAG show support for Asante Kotoko after car,
7031,1,,PFAG supports Asante Kotoko after car crash,
7032,1,,"PTSD victim of a car crash which killed her fiance, now lives as a complete social recluse with the sister of his fiance's friend",
7033,1,,Pedestrian Breaks Femur in Bay Terraces Hit-and-Run Crash,
7034,1,,Pensioner badly hurt in Leeds crash. A PENSIONER was seriously injured when a car struck a lamppost,
7035,0,,"Philadelphia Mayor, Police Brief On Amtrak Crash",
7036,1,,"Photo: FDNY, FDNY EMS, NYPD Highway Patrol at one Hell of a crash on the Grand Central Parkway.",
7037,1,,Police are blaming a distracted driver for a four-car crash on the Southwest Side. #KSATnews ,
7038,1,,Police say 1 person was killed in a crash on 54th Terrace &amp; Noland in #KCMO when they tried passing another car.,
7039,1,,"Police search for car involved in fatal hit, run crash in High Point",
7040,1,,Police: 2 teens killed in crash near Westport Village ,
7041,1,,Police: 5 Indiana residents killed in I-65 crash near Bowling Green ,
7042,1,,Police: Driver Killed In 2-car Crash In Connecticut ,
7043,1,,"Prayers for all affected (family, friends, etc.) by the tragedy of this morning's car crash...so much love for you all right now",
7044,0,,RDX - Bang!!! \u25b6Car Crash Riddim @RDXmusic #Dancehall ,
7045,0,,"ROAD RAGE IN AMERICA BAD DRIVERS USA, CANADA NORTH AMERICAN DRIVING FAlL CAR CRASH COMPILATION:",
7046,1,, WEST at the 5: Right lane of transition rd blocked because of two car crash. Slowing as you approach.,
7047,1,,"Man skips job interview, jumps off bus to rescue car crash victim",
7048,1,,"Man skips job interview, jumps off bus to rescue car crash victim",
7049,1,,We're on the scene of a confirmed fatal crash on Boughton Hill Road in Mendon. 2 vehicle accident involving dump tr\u2026,
7050,1,,One person left in a serious condition after West Auckland car crash,
7051,0,,It didn't to us. @RLong_Bailey had a car crash of an interview. She was almost Maybot scripted to the point of come,
7052,1,,"On this day in 1967, Jayne Mansfield dies in a horrific car crash at 34, a major sex symbol, she was considered ",
7053,1,, North Reading Police taser driver after causing four car crash.,
7054,1,,"Car hits house, collapses porch in 4-vehicle crash in #Bally #BerksCounty ",
7055,1,,"Just found out @SoaR_Days got in a crash. He needs $ help for repairs, Please help! And it's good your ok man ",
7056,1,,"55 North transition to 22 Fwy shut down in Orange due to crash, car fire",
7057,0,,States (WA &amp; CO) that have legalized recreational #marijuana have not seen increase in car crash fatality rates,
7058,0,,My nudes caused @ksing1228 to crash her car. Get you a manz like that.,
7059,1,,The #A27 at Broadwater #Worthing is closed w bound at its jct with Gainsborough Ave after a five car crash at 5.43,
7060,0,,Plan around this car crash ,
7061,0,,Car Crash Compilation # 63 REACTION FT. My Dad ,
7062,1,,"Sig Alert cancelled, ALL lanes open following fatal car vs pedestrian crash SB 101 @ Oyster Point. ",
7063,0,,The media uses the Same logic when a car crash kills over 20 people they get 3min lakini when ,
7064,0,,I hate when I'm driving and I see someone attractive like I want to stare at your face but I'm afraid I'll crash my car,
7065,0,,"Although, in the old ps that game is crash car not the one with three parts, but still cool.",
7066,1,,Dash cam captures shocking crash between car and cyclist. No word on whether any charges have been laid. @CTVOttawa ,
7067,1,,"Brave, unselfish man* skips job interview, takes shirt off his back to save car crash victim. FTFY ",
